content,label

"Tiền Giang: Tài xế khóc ròng vì phí khử khuẩn ở Gò Công Tây Phản ánh với PV Thanh Niên, nhiều tài xế cho biết phải trả từ 20.000 - 50.000 đồng/lượt khi di chuyển vào H.Gò Công Tây (Tiền Giang) sau khi được phun khử khuẩn xe.",0

"Bản tin tình hình Covid-19 hôm nay 16.10: TP.HCM ghi nhận 790 ca nhiễm mới, 58 ca tử vong Bản tin tình hình Covid-19 hôm nay của Báo Thanh Niên trực tiếp lúc 20 giờ ngày 16.10.2021 tại địa chỉ thanhnien.vn, YouTube, Facebook của Báo Thanh Niên, trang Báo Thanh Niên trên 2 mạng xã hội Lotus và TikTok.",0

"Hà Nội: Làm rõ nhóm người xăm trổ đập phá cửa nhà dân ở Q.Hai Bà Trưng Chiều 16.10, Công an Q.Hai Bà Trưng (Hà Nội) cho biết đang củng cố hồ sơ để tạm giữ hình sự một số đối tượng có hành vi gây rối trật tự công cộng, đập phá nhà dân liên quan tranh chấp đất đai ở P.Thanh Lương.",0

"Khắc phục sai sót cập nhật dữ liệu tiêm vắc xin Covid-19 Cả nước đã thực hiện 61 triệu mũi vắc xin Covid-19 đã tiêm, nhưng vẫn còn sai sót trong cập nhật dữ liệu người đã tiêm chủng.",1

"Ám ảnh những ‘thị trấn ma’ ở Trung Quốc Giới phân tích cho rằng ""bom nợ"" Evergrande chỉ là phần nổi của ""quả bom nổ chậm"" trong thị trường bất động sản ở Trung Quốc.",1

Long Nhật nói gì về vụ lập group kêu gọi nghệ sĩ tẩy chay Hồ Văn Cường? Long Nhật phủ nhận tin đồn lập group kêu gọi nghệ sĩ tẩy chay Hồ Văn Cường. Anh cho biết bản thân đang kết nối với các nhà hảo tâm để giúp đỡ con nuôi Phi Nhung.,1

"Người miền Tây dừng cuộc ly hương: Vợ vẫn sau lưng... nhưng đã hóa tàn tro 'Ai ngờ khi về cũng trên chiếc xe đó, cũng vợ ở phía sau nhưng không còn hình hài, chỉ còn hũ tro cốt lạnh ngắt, cũng chẳng còn ai đồng hành quãng đời còn lại', người chồng đau xót đưa vợ về quê miền Tây yên nghỉ.",0

"Phạt nặng tiền để răn đe những người 'làm loạn' trên mạng xã hội Mức phạt lên tới hàng trăm triệu đồng kèm những hình thức phạt bổ sung khác dành cho người lên mạng xã hội phát tán tin sai sự thật, bịa đặt, xúc phạm người khác hoặc làm ảnh hưởng tới trẻ em...",1

"Lịch thi đấu Ngoại hạng Anh hôm nay 16.10: M.U gặp khó ở King Power Lịch thi đấu bóng đá, lịch truyền hình trực tiếp và dự đoán  kết quả vòng 8 Ngoại hạng Anh diễn ra hôm nay 16.10 (theo giờ VN) luôn được cập nhật nhanh và chính xác nhất.",1

"Lái xe máy sang đường ẩu, nữ ninja thoát chết nhờ… ‘bỏ của chạy lấy người’ Điều khiển xe máy sang đường không quan sát, người phụ nữ đã may mắn thoát chết… nhờ bỏ xe chạy thoát thân.",0

"Quyền lực khổng lồ của Mark Zuckerberg đẩy Facebook vào ngõ cụt Tuần trước, cựu nhân viên Frances Haugen tiết lộ CEO Mark Zuckerberg nắm giữ hơn 55% quyền biểu quyết trong công ty.",0

"Windows 11 hỗ trợ cập nhật cho các dòng máy không tương thích Mặc dù khá kiên quyết về các yêu cầu tối thiểu đối với Windows 11, nhưng Microsoft vẫn cho phép người dùng thiết bị không tương thích cài đặt nó và thậm chí hỗ trợ cập nhật với bản vá quan trọng.",1

‘Con dao hai lưỡi’ khi đổ tiền đầu tư cho game NFT Nhiều người nhảy vào đầu tư game NFT khi nhìn thấy nhiều “nhà đầu tư” đi trước nhanh chóng kiếm tiền từ việc chơi game mà không lường trước rủi ro mất trắng.,0

Apple mở rộng chương trình sửa chữa AirPods Pro Apple đang mở rộng chương trình sửa chữa cho AirPods Pro trong 3 năm kể từ ngày bán thay vì chỉ 2 năm như hiện tại.,1

"Doanh số smartphone toàn cầu giảm do khủng hoảng chip Sự khủng hoảng chip toàn cầu đã ảnh hưởng đến gần như mọi ngành công nghiệp phụ thuộc vào linh kiện bán dẫn, từ card đồ họa đến ô tô. Giờ đây, nó thậm chí còn gây hại cho các nhà sản xuất smartphone.",0

Đã kết hôn mới được lái máy bay tuyệt mật nhanh nhất của CIA Máy bay do thám A-12 bay nhanh hơn tên lửa của CIA từng có những yêu cầu khắt khe và đặc biệt trong tuyển dụng phi công.,0

Các nước đang tiêm vắc xin Covid-19 cho trẻ em như thế nào? Tính đến nay có ít nhất 29 quốc gia đã bắt đầu tiêm vắc xin Covid-19 cho trẻ em và có nhiều loại vắc xin được tiêm cho đối tượng này.,1

"Trung Quốc nâng cấp 3 căn cứ không quân lớn gần Đài Loan Các căn cứ không quân của Trung Quốc ở gần Đài Loan được cho là đã nâng cấp thường xuyên, kể cả trong đại dịch Covid-19.",0

"TP.HCM cần mạnh dạn chấp nhận số F0 gia tăng để phục hồi kinh tế Các chuyên gia kinh tế đều nhấn mạnh TP.HCM phải mạnh dạn, chủ động xây dựng chương trình phục hồi và phát triển kinh tế trong giai đoạn tới.",0

"Cơ quan thuế 'soi' bất động sản, chứng khoán... Số thu thuế sụt giảm mạnh trong đợt dịch Covid-19 lần thứ 4 khiến nhà thuế đang “soi” các lĩnh vực như chứng khoán, bất động sản...",1

"Đà Nẵng sẽ triển khai dự án chợ đầu mối lớn nhất khu vực miền Trung - Tây nguyên Ngày 16.10, Văn phòng UBND TP.Đà Nẵng cho biết Chính phủ đã phê duyệt chuyển mục đích sử dụng đất để thực hiện hai dự án lớn là Khu đô thị Phong Nam và Chợ đầu mối Hòa Phước - chợ đầu mối lớn nhất khu vực miền Trung - Tây Nguyên.",1

"Hiệu trưởng mới Trường ĐH Khoa học tự nhiên TP.HCM là một tiến sĩ hóa dược Trường ĐH Khoa học tự nhiên TP.HCM đã có hiệu trưởng là tiến sĩ hóa dược, tốt nghiệp tại một trường ĐH ở Nhật Bản.",1

"Học sinh mong chờ được tiêm đủ hai mũi vắc xin phòng Covid-19 để quay lại trường Trước thông tin Bộ Y tế tổ chức tiêm vắc xin cho trẻ em từ 12 - 17 tuổi, nhiều học sinh cho biết rất mong chờ được tiêm đủ 2 mũi trước khi quay trở lại trường học vào thời gian tới.",1

"Dạy và học trực tuyến: hiệu quả đến đâu? Tôi không phủ nhận việc áp dụng công nghệ một cách chừng mực giúp việc dạy và học có những hiệu quả nhất định. Nhưng chúng chỉ là phương tiện chứ không thể nào thay thế được tri thức, khả năng tương tác, khả năng gầy dựng cảm hứng...",0

Hành trình thủ khoa 'kép' của nữ sinh Hà Tĩnh Một nữ sinh 22 tuổi Hà Tĩnh trở thành thủ khoa đầu ra của Trường ĐH Khoa học xã hội và Nhân văn (ĐH Quốc gia Hà Nội) với số điểm gần như tuyệt đối.,1

"Giao lưu trực tuyến “Tuổi trẻ Việt Nam - Những câu chuyện đẹp” 9 giờ sáng mai (17.10), Trung ương Đoàn TNCS Hồ Chí Minh tiếp tục thực hiện số thứ 2 của chương trình giao lưu trực tuyến “Tuổi trẻ Việt Nam - Những câu chuyện đẹp” với chủ đề “ Thanh niên vững niềm tin với Đảng ”.",1

"'Bí mật' đằng sau những khu vườn trĩu quả do giãn cách xã hội vì dịch Covid-19 Tận dụng tháng ngày giãn cách xã hội, những người trẻ này cùng với người thân của mình 'biến' khu đất quanh nhà thành 'vườn' nông sản trĩu quả. Niềm vui với họ không chỉ có rau, củ quả sạch dùng hàng ngày mà còn những giá trị khác.",0

"Ấn chương triều Nguyễn và chuyện chưa kể Lịch sử Việt Nam đã trải qua bao triều đại cho đến triều đại phong kiến cuối cùng với những kim ấn, bảo tỷ của hoàng tộc; công ấn, tư ấn được phong cấp và sử dụng trong hành chính… lên tới con số vài ngàn.",1

Ban tổ chức Quả cầu vàng vẫn quyết định trao giải dù đài NBC ngưng phát sóng Hiệp hội báo chí nước ngoài tại Hollywood - ban tổ chức giải Quả cầu vàng cho biết sẽ trao các giải thưởng truyền hình và điện ảnh vào tháng 1.2022 mặc dù kênh truyền hình NBC hồi tháng 5.2021 tuyên bố không phát sóng chương trình nữa.,1

"Hoa hậu Jennifer Phạm, á hậu Huyền My đóng phim về cuộc chiến chống Covid-19 Cuộc chiến chống dịch Covid-19 của Việt Nam được đưa lên màn ảnh nhỏ qua series phim trực tuyến Bản mệnh thiên thần (Shipper), với sự tham gia của hoa hậu Jennifer Phạm, á hậu Huyền My, NSƯT Mỹ Duyên, NSƯT Tuyết Thu...",1

"Người đẹp vòng eo con kiến Doãn Hải My tung ảnh... quá khứ, dân mạng phát cuồng Người đẹp tài năng Hoa hậu Việt Nam 2020 Doãn Hải My khiến hàng triệu fan nức lòng vì dáng kiều thướt tha trong tà áo dài và khuôn mặt xinh đẹp, thơ ngây… phát hờn!",1

"Bị 'réo tên' vụ tiền từ thiện, Nhật Kim Anh lập tức đăng clip sao kê Nhật Kim Anh nhanh chóng đến ngân hàng thực hiện sao kê minh bạch tài chính sau khi vướng vào lùm xùm tiền từ thiện.",1

Vợ chồng Thúy Diễm - Lương Thế Thành tung sao kê vụ kêu gọi từ thiện Thúy Diễm sẵn sàng gửi sao kê cho các nhà hảo tâm và cơ quan có thẩm quyền để chứng minh sự trong sạch của mình trong việc làm từ thiện.,0

"Trực tiếpKết quả Ngoại hạng Anh, Man City 1-0 Burnley, Premier League: Silva mở tỷ số Man City chạm trán Burnley ở vòng 8 giải bóng đá Ngoại hạng Anh diễn ra lúc 21 giờ hôm nay (16.10) với mục tiêu giành trọn 3 điểm để tiếp tục đua tranh ngôi đầu bảng xếp hạng. Trận đấu này được trực tiếp trên thanhnien.vn.",0

Tuyển Indonesia gặp khó khi Trung Quốc rút khỏi vòng loại Giải U.23 châu Á Tuyển U.23 Indonesia phải đối mặt với tình thế khó khăn trước trận vòng loại giải U.23 châu Á 2022 với Úc sau khi bảng G chỉ còn 2 đội do Trung Quốc rút lui.,1

"Kết quả Ngoại hạng Anh, Watford 0-5 Liverpool: Mưa bàn thắng tại Vicarage Road! Liverpool với các bàn thắng của Mane, Firmino (hat-trick) và Salah đã dễ dàng đánh bại đội chủ sân Vicarage Road của Watford ngay trong ngày ra mắt của tân HLV Claudio Ranieri.",1

"Vui mừng vì được đón về quê, người Thái Bình hát vang bài 'nắng ấm quê hương' 1.391 người dân ở TP.HCM, Đồng Nai, Bình Dương và Long An được tỉnh Thái Bình tổ chức đón về quê bằng tàu hỏa.",0

"Thượng tá bị trêu 'có bồ trong Nam' vì 3 lần xung phong đón dân về quê Cả 3 lần Quảng Trị tổ chức đoàn vào miền Nam để đón dân về quê, thượng tá Lê Mạnh Hùng (Phó phòng CSGT, Công an tỉnh Quảng Trị) đều xung phong tham gia và giữ vai trò phó trưởng đoàn… đến mức bị trêu 'có bồ trong miền Nam'.",1

"Ngày đầu hàng quán Đà Nẵng bán tại chỗ: Thấy khách đội mưa đến, mừng... muốn khóc Sáng đầu tiên TP.Đà Nẵng cho phép hàng quán phục vụ khách tại chỗ, dù trời mưa nhưng người dân vẫn hào hứng đi cà phê, ăn sáng tại chỗ sau nhiều tháng gián đoạn.",1

"Hôn nhân mâu thuẫn, chồng dùng dao cắt đứt ‘của quý’ Do gặp mâu thuẫn trong hôn nhân, một người đàn ông 48 tuổi ở Kenya đã dùng dao cắt đứt 'của quý' của mình. Nhưng khoảng 16 tiếng sau, ông đã chạy đến bệnh viện nhờ bác sĩ nối lại.",1

"Có 29 triệu liều vắc xin Covid-19, Bộ Y tế yêu cầu tiêm ít nhất 2 triệu liều/ngày Bộ Y tế cho biết cả nước đã tiêm hơn 58 triệu liều vắc xin và khoảng 29 triệu liều chưa tiêm, đề nghị các địa phương đẩy nhanh tiến độ tiêm chủng, tổ chức tiêm vắc xin cho trẻ em theo hướng dẫn.",1

"Bộ Y tế: Chú trọng giám sát Covid-19 người về từ TP.HCM và 3 tỉnh phía nam Hôm nay, 15.10, Bộ Y tế có Công văn số 8718/BYT-DP (Công văn 8718) gửi UBND các tỉnh, thành phố đề nghị tăng cường giám sát người về từ các khu vực có dịch Covid-19.",1

"'Soi' chi tiết tính năng trên VinFast VF e34 tại Việt Nam Ô tô điện VinFast VF e34 có mức giá dễ chịu, trang bị nhiều tính năng mang hơi hướng công nghệ hiện đại, phù hợp với nhu cầu sử dụng hàng ngày trong đô thị.",0

"SUV đô thị: Đông nhưng ‘kém vui’, KIA Seltos và Toyota Corolla Cross đua song mã Cùng với KIA Seltos, hầu hết mẫu SUV đô thị tại Việt Nam đều ghi nhận doanh số tăng trong tháng 9.2021. Tuy nhiên, phân khúc này chưa thực sự “nóng” như kỳ vọng khi vẫn chỉ là cuộc đua song mã giữa KIA Seltos và Toyota Corolla Cross.",1

"Xe gia đình cỡ nhỏ: Suzuki XL7 nhảy vọt, KIA Rondo và Toyota Avanza sắp bỏ cuộc Sau tháng 8.2021 chứng kiến mức doanh số thấp chưa từng có, phân khúc xe gia đình cỡ nhỏ tại Việt Nam đã đồng loạt tăng trưởng trở lại. Trong đó, Suzuki XL7 là mẫu xe hút khách nhất khi bán ra gần 300 xe.",0

"Bà bầu xúc động được lên chuyến bay miễn phí về Quảng Ngãi thăm mẹ Sáng 16.10.2021, nhiều thai phụ đã tới sân bay Tân Sơn Nhất chờ làm thủ tục lên máy bay. Họ là những công dân Quảng Ngãi được tấm vé máy bay miễn phí trở về quê hương sau khi dịch bệnh Covid-19 ở TP.HCM bớt căng thẳng.",1

"Ba phi hành gia Trung Quốc rời trái đất lên xây trạm không gian Trung Quốc vào hôm 16.10 đã phóng một tàu vũ trụ mang theo ba phi hành gia, trong đó có một phụ nữ, lên mô đun chính trên trạm vũ trụ trong tương lai.",1

"Giám đốc Sở Y tế TP.HCM: TP.HCM tạm được đánh giá là vùng cam Tại buổi livestream ‘Dân hỏi - Thành phố trả lời’ tối 15.10, PGS-TS Tăng Chí Thượng, Giám đốc Sở Y tế TP.HCM tạm đánh giá TP.HCM đang hiện thuộc vùng cam. TP.HCM có thể chuyển qua vùng vàng, nhưng nếu người dân không tuân thủ sẽ thành vùng đỏ.",1

"Bộ Y tế: Chú trọng giám sát Covid-19 người về từ TP.HCM và 3 tỉnh phía nam Hôm nay, 15.10, Bộ Y tế có Công văn số 8718/BYT-DP (Công văn 8718) gửi UBND các tỉnh, thành phố đề nghị tăng cường giám sát người về từ các khu vực có dịch Covid-19.",0

"Ngày 15.10 có 3.797 ca nhiễm Covid-19 tại 47 tỉnh, thành Chiều nay, 15.10, Bộ Y tế thông báo 3.797 ca nhiễm Covid-19 mới tại 47 tỉnh, thành; riêng TP.HCM có 1.131 ca.",1

"Bản tin tình hình Covid-19 hôm nay 15.10: Dòng người đang quay lại TP.HCM, Bình Dương, Đồng Nai Bản tin tình hình Covid-19 hôm nay của Báo Thanh Niên trực tiếp lúc 20 giờ ngày 15.10.2021 tại địa chỉ thanhnien.vn, YouTube, Facebook của Báo Thanh Niên, trang Báo Thanh Niên trên 2 mạng xã hội Lotus và TikTok.",0

"Từ ngày mai 16.10 người dân được tắm biển Nha Trang, chơi thể thao ngoài trời Chiều 15.10, UBND tỉnh Khánh Hòa có văn bản triển khai giai đoạn 2 kế hoạch thích ứng an toàn trong phòng chống dịch Covid-19 và phục hồi phát triển kinh tế, xã hội.",0

"Trưởng Ban kỷ luật VFF bất ngờ nói về VAR và cảnh báo cầu thủ Việt Nam ‘Các CLB mà không rèn cứ để cầu thủ mắc lỗi thành thói quen, khi thi đấu quốc tế, trọng tài có bỏ qua thì VAR cũng không bỏ qua cho đâu. Vòng loại thứ 3 World Cup 2022 đã cho thấy rõ điều ấy’.",1

Phim Hương vị tình thân tập 57 phần 2: Thy có dám tố cáo lão Tấn? Phim Hương vị tình thân tập 57 phần 2: Long thu thập bằng chứng và nhân chứng từ Chiến “chó”; Lão Tấn đe dọa Thy…,1

"Trung Quốc rút khỏi vòng loại giải U.23 châu Á, bảng đấu chỉ còn 2 đội Tuyển U.23 Trung Quốc đã bất ngờ rút khỏi vòng loại giải vô địch U.23 châu Á 2022 được tổ chức tại Tajikistan.",1

'Solo cùng bolero' tổ chức đêm nhạc tri ân cố ca sĩ Phi Nhung Đơn vị sản xuất Solo cùng bolero cho biết sẽ tổ chức đêm nhạc mang tên Nhớ Nhung để tri ân những đóng góp của cố ca sĩ Phi Nhung cho chương trình trong suốt 7 mùa vừa qua.,0

Xem trực tiếp tuyển U.23 Việt Nam tranh tài vòng loại U.23 châu Á trên kênh nào? Tuyển U.23 Việt Nam sẽ tranh tài bảng I vòng loại U.23 châu Á 2022 diễn ra tại Kygryzstan từ ngày 27.10 đến 2.11. Người hâm mộ Việt Nam được xem trực tiếp toàn bộ các trận đấu của thầy trò HLV Park Hang-seo tại giải đấu này.,1

Microsoft đóng cửa LinkedIn tại Trung Quốc Phiên bản tiếng Trung Quốc của LinkedIn sẽ ngừng hoạt động vào cuối năm nay với nguyên nhân bắt nguồn từ “một môi trường hoạt động thách thức hơn đáng kể và các yêu cầu tuân thủ cao hơn”.,1

"VinFast VF e34 chính thức tung ra thị trường Việt Nam Ô tô điện VinFast VF e34 chính thức mở bán tại thị trường Việt Nam, hệ thống trạm sạc điện cho xe trên toàn quốc cũng đã sẵn sàng hoạt động.",1

"Giá heo hơi hôm nay 15.10.2021: Nhiều tỉnh thành miền Trung, miền Nam giảm thêm 4.000 đồng/kg Giá heo hơi tiếp tục giảm trên diện rộng tại nhiều tỉnh thành khu vực miền Trung và miền Nam, mức giảm sâu nhất lên đến 3.000 - 4.000 đồng/kg.",1

"Thanh toán trực tuyến gia tăng là 'mồi ngon' cho tin tặc Hãng bảo mật Kaspersky vừa tổ chức sự kiện Cybersecurity Weekend dưới hình thức online, chia sẻ những thói quen và rủi ro của người dùng dịch vụ thanh toán trực tuyến đang ngày càng gia tăng trong khu vực.",1

"Facebook mở khóa hệ thống cho kính thực tế ảo Oculus Go Facebook hiện đã mở khóa Oculus Go để người dùng có thể tìm hiểu, giúp chủ sở hữu có nhiều quyền truy cập hơn vào thiết bị.",0

Nhiều nước kêu gọi Myanmar để đặc phái viên ASEAN gặp bà Suu Kyi Cộng đồng quốc tế vừa ra tuyên bố chung hối thúc Myanmar cho phép đặc phái viên của ASEAN được đến nước này để gặp các quan chức của chính quyền trước chính biến.,1

43.000 người có thể đã nhận kết quả xét nghiệm Covid-19 sai tại Anh Cơ quan chức năng của Anh đã tạm đình chỉ hoạt động một phòng thí nghiệm vì nghi cung cấp kết quả xét nghiệm PCR âm tính không chính xác cho khoảng 43.000 người.,1

"Nga chỉ trích liên minh AUKUS đẩy mạnh chạy đua vũ trang Quan chức cấp cao Bộ Ngoại giao Nga vừa cảnh báo liên minh AUKUS giữa Anh, Mỹ và Úc thúc đẩy cuộc chạy đua vũ trang và có thể dẫn đến sự leo thang căng thẳng quốc tế.",0

Dịch Covid-19 kéo giảm tỷ suất sinh lời của các doanh nghiệp Mặc dù nhiều doanh nghiệp vẫn đạt lợi nhuận nhưng đại dịch Covid-19 bắt đầu xuất hiện từ năm 2020 đã gây ra các khó khăn và làm giảm tỷ suất sinh lời bình quân.,0

"Đồng Nai: 82% doanh nghiệp trong KCN hoạt động trở lại, người lao động tăng từng ngày 82% doanh nghiệp trong các KCN ở Đồng Nai đã hoạt động trở lại. Do tốc độ phục hồi nhanh nên nhu cầu lao động cũng tăng lên hàng ngày.",0

"Thêm 20 chợ ở quận 3, 8, Bình Thạnh, Tân Bình… mở bán trở lại Tính đến 10 giờ sáng nay (15.10), TP.HCM có 68/234 chợ truyền thống đã mở cửa hoạt động trở lại. Trong đó, có 35 chợ hạng 3, 21 chợ hạng 2 và 12 chợ hạng 1.",0

"Đại học Huế đặt mục tiêu phát triển thành Đại học Quốc gia Đại học Huế đã tổ chức lễ khai giảng năm học 2021 - 2022, bằng hình thức kết nối trực tuyến với các trường thành viên và các khoa trực thuộc.",0

"TP.HCM có phòng quản lý trường ngoài công lập Ngày 15.10, Sở GD- ĐT TP.HCM công bố quyết định thành lập phòng Quản lý cơ sở giáo dục ngoài công lập. Đồng thời có các quyết định bổ nhiệm, thuyên chuyển công tác năm học 2021- 2022.",0

"Hà Nội: Tiếp tục học trực tuyến, chuẩn bị phương án tiêm vắc xin cho học sinh Sở GD-ĐT Hà Nội yêu cầu tiếp tục thực hiện việc dạy và học bằng hình thức trực tuyến cho đến khi có thông báo mới, đồng thời có phương án chuẩn bị tổ chức tiêm vắc xin cho học sinh.",0

"Tình nguyện viên chăm sóc chó mèo cho người bị F0 Bên cạnh công việc tại khu cách ly tập trung ở Q.8, TP.HCM, một nữ tình nguyện viên nhận thêm nhiệm vụ đặc biệt là chăm sóc chó mèo cho bệnh nhân Covid-19.",1

"Á hậu Lào 2019 học đại học ở Việt Nam, giỏi tiếng Việt, yêu Hà Nội Xanita Savengxok, Á hậu 2 cuộc thi Hoa hậu Thế giới Lào 2019 hiện là sinh viên năm thứ 2 Trường ĐH Công nghệ giao thông vận tải (cơ sở Hà Nội), với mơ ước trở thành một nhân viên vận hành đường sắt giỏi.",0

